station_ft,elevation_ft
4.97,54.02
5,42.64
5,42.64
6.62,42.63
6.89,42.64
7.1,42.58
7.44,42.56
7.9,42.69
7.98,42.73
8.04,42.68
8.52,42.58
8.99,42.28
9.07,42.28
9.17,42.42
9.61,42.95
9.93,42.97
10.15,42.86
10.45,43.06
10.7,43.16
10.88,43.24
11.24,43.42
11.73,43.14
11.78,43.12
11.82,42.82
12.33,40.84
12.77,39.29
12.87,38.92
12.91,38.73
13.01,38.44
13.29,38.43
13.41,38.45
13.71,40.5
13.96,42.22
14.29,42.16
14.5,41.57
14.66,42.16
15.04,42.04
15.57,42.15
15.58,42.13
15.59,42.1
15.96,41.13
16.13,42.1
16.34,41.73
16.67,41.18
16.72,41.16
16.84,41.13
17.22,40.95
17.49,41.01
17.76,40.97
18.12,40.74
18.3,40.56
18.44,40.44
18.85,39.96
19.38,39.59
19.39,39.58
19.4,39.57
19.93,39.32
20.32,39.15
20.48,39.09
20.68,39.13
21.02,39.23
21.27,39.26
21.56,39.3
21.96,39.42
22.12,39.3
22.39,38.53
26.56,41.2
28.77,42.61
32.51,45
34.38,46.19
38.74,48.98
38.96,49.12
39.55,49.5
39.55,54.02
